Date,Open,High,Low,Close,Volume
2018-10-20 02-PM,6612.45,6612.45,6587.85,6591.97,13.3
2018-10-20 01-PM,6590.35,6613.28,6590.35,6612.45,12.44
2018-10-20 12-PM,6600,6600,6584.11,6590.35,10.15
2018-10-20 11-AM,6580.96,6600,6575.9,6600,13.54
2018-10-20 10-AM,6583.07,6584,6572.67,6580.96,1.98
2018-10-20 09-AM,6575.97,6584,6575.82,6583.07,3.97
2018-10-20 08-AM,6580,6585.85,6571.33,6575.97,2.54
2018-10-20 07-AM,6593.71,6600.82,6580,6580,20.59
2018-10-20 06-AM,6547.04,6609.98,6547.04,6593.71,30.82
2018-10-20 05-AM,6547.04,6547.04,6544.84,6547.04,1.05
2018-10-20 04-AM,6537.18,6547.04,6537.18,6547.04,2.06
2018-10-20 03-AM,6547.04,6547.04,6537.15,6537.18,2.25
2018-10-20 02-AM,6546.6,6561.15,6542.99,6547.04,4.25
2018-10-20 01-AM,6515.04,6546.6,6510,6546.6,10.69
2018-10-20 12-AM,6528.14,6531.3,6512,6515.04,8.62
2018-10-19 11-PM,6534.46,6534.46,6528.14,6528.14,11.05
2018-10-19 10-PM,6541.26,6549.88,6530.47,6534.46,9.82
2018-10-19 09-PM,6525.91,6550,6525.91,6541.26,14.81
2018-10-19 08-PM,6558.83,6558.83,6525.75,6525.91,10.67
2018-10-19 07-PM,6568.87,6575.4,6552,6558.83,15.46
2018-10-19 06-PM,6568.38,6575.4,6564.5,6568.87,7.85
2018-10-19 05-PM,6569.08,6579.4,6568.26,6568.38,12.18
2018-10-19 04-PM,6571.11,6595.7,6560.57,6569.08,11.6
2018-10-19 03-PM,6565.89,6571.33,6554.76,6571.11,11.7
2018-10-19 02-PM,6581.08,6584.23,6560.34,6565.89,10.38
2018-10-19 01-PM,6572.95,6585.73,6570.86,6581.08,2.11
2018-10-19 12-PM,6589.46,6589.46,6550,6572.95,25.62
2018-10-18 01-AM,6749,6749,6746.66,6746.66,0.0
2018-10-18 12-AM,6739.75,6749,6729.15,6749,7.42
2018-10-17 11-PM,6736.78,6745.42,6729.86,6739.75,6.92
2018-10-17 10-PM,6736.78,6753.03,6736.78,6736.78,4.54
2018-10-17 09-PM,6731.43,6736.78,6715.57,6736.78,12.29
2018-10-17 08-PM,6722.42,6734.28,6710.68,6731.43,4.16
2018-10-17 07-PM,6746.45,6746.45,6722.42,6722.42,6.29
2018-10-17 06-PM,6740.77,6749.69,6729.84,6746.45,10.27
2018-10-17 05-PM,6750,6750,6736.49,6740.77,3.45
2018-10-17 04-PM,6741.22,6755.19,6733.84,6750,23.14
2018-10-17 03-PM,6754.97,6759.19,6735,6741.22,22.22
2018-10-17 02-PM,6718.11,6765.28,6701.73,6754.97,37.84
2018-10-17 01-PM,6718.08,6722.79,6700,6718.11,2.71
2018-10-17 12-PM,6725.32,6727.62,6714.11,6718.08,10.04
2018-10-17 11-AM,6706.64,6725.32,6684.58,6725.32,19.89
2018-10-17 10-AM,6725.1,6733,6699.99,6706.64,11.51
2018-10-17 09-AM,6765.76,6769.72,6719,6725.1,4.38
2018-10-17 08-AM,6753.5,6772.54,6747.33,6765.76,4.07
2018-10-17 07-AM,6767.44,6767.44,6746,6753.5,0.889
2018-10-17 06-AM,6754.76,6769.93,6754.76,6767.44,4.45
2018-10-17 05-AM,6773.02,6800.54,6754.76,6754.76,15.14
2018-10-17 04-AM,6770.7,6783.9,6756.4,6773.02,11.12
2018-10-17 03-AM,6757.68,6782.94,6757.68,6770.7,12.51
2018-10-17 02-AM,6752.58,6770.26,6737.8,6757.68,10.08
2018-10-17 01-AM,6756.29,6769.92,6747.87,6752.58,7.94
2018-10-17 12-AM,6758.75,6763,6732.45,6756.29,10.32
2018-10-16 11-PM,6729.83,6779.45,6729.16,6758.75,8.28
2018-10-16 10-PM,6736.21,6736.21,6710.9,6729.83,4.08
2018-10-16 09-PM,6718.91,6736.21,6709.03,6736.21,3.97
2018-10-16 08-PM,6740.06,6743.21,6708.98,6718.91,11.25
2018-10-16 07-PM,6731.3,6740.06,6710.01,6740.06,20.62
2018-10-16 06-PM,6712,6739.72,6712,6731.3,10.06
2018-10-16 05-PM,6695.11,6712,6695.11,6712,6.31
2018-10-16 04-PM,6725,6725,6679.45,6695.11,12.9
2018-10-16 03-PM,6723,6739.15,6723,6725,9.5
2018-10-16 02-PM,6754.17,6754.17,6719.85,6723,27.65
2018-10-16 01-PM,6750,6778.64,6747.21,6754.17,23.86
2018-10-16 12-PM,6794.7,6795.77,6740.56,6750,14.07
2018-10-16 11-AM,6770.33,6794.7,6765.46,6794.7,2.74
2018-10-16 10-AM,6748.31,6770.34,6748.31,6770.33,13.71
2018-10-16 09-AM,6745.13,6764.07,6740,6748.31,5.13
2018-10-16 08-AM,6825.38,6832.12,6740,6745.13,28.0
2018-10-16 07-AM,6825,6833.45,6812.97,6825.38,11.34
2018-10-16 06-AM,6847.61,6890.32,6816.78,6825,67.89
2018-10-16 05-AM,6724.98,6854.56,6724.98,6847.61,33.87
2018-10-16 04-AM,6734.42,6739.74,6724.98,6724.98,4.2
2018-10-16 03-AM,6736.73,6764.44,6733.59,6734.42,27.84
2018-10-16 02-AM,6718.94,6745.51,6703.98,6736.73,25.45
2018-10-16 01-AM,6726.33,6747.98,6702.6,6718.94,40.83
2018-10-16 12-AM,6750,6750,6710.51,6726.33,13.92
2018-10-15 11-PM,6725.62,6782.19,6724.31,6750,18.63
2018-10-15 10-PM,6660.45,6750,6651.65,6725.62,71.23
2018-10-15 09-PM,6713.48,6744.65,6660.43,6660.45,98.46
2018-10-15 08-PM,6744.52,6758.02,6700.2,6713.48,137.08
2018-10-15 07-PM,6806.63,6822.37,6744.39,6744.52,51.27
2018-10-15 06-PM,6882,6909.34,6802,6806.63,202.34
2018-10-15 05-PM,6927,6942.85,6881,6882,101.79
2018-10-15 04-PM,6903.86,6950,6903.86,6927,103.2
2018-10-15 03-PM,6880,6920.45,6880,6903.86,101.82
2018-10-15 02-PM,6954.2,6976.48,6880,6880,313.56
2018-10-15 01-PM,6955,6976.53,6929,6954.2,168.43
2018-10-15 12-PM,6968.72,7045.79,6955,6955,331.65
2018-10-15 11-AM,6923.54,7060,6923.54,6968.72,626.16
2018-10-15 10-AM,6850,6947.93,6837,6923.54,180.44
2018-10-15 09-AM,6840.09,6867.67,6734.17,6850,405.21
2018-10-15 08-AM,6870.95,6963.92,6821.85,6840.09,482.68
2018-10-15 07-AM,7340,7400.55,6870.95,6870.95,626.98
2018-10-15 06-AM,6700,7648.34,6672.24,7340,962.72
2018-10-15 05-AM,6387.02,6741.41,6387.02,6700,389.81
2018-10-15 04-AM,6380,6387.02,6375.1,6387.02,24.98
