Date,Open,High,Low,Close,Volume
2020-01-12 04-AM,8082.83,8100,8066.36,8067.34,20.98
2020-01-12 03-AM,8086.72,8106.31,8059.98,8082.83,47.4
2020-01-12 02-AM,8061.13,8104.5,8044.62,8086.72,72.87
2020-01-12 01-AM,8057.71,8086.11,8031.46,8061.13,59.14
2020-01-12 12-AM,8016.22,8073.45,7960,8057.71,293.87
2020-01-11 11-PM,8069.51,8079.65,8000,8016.22,269.68
2020-01-11 10-PM,8096.75,8099.61,8020.69,8069.51,200.66
2020-01-11 09-PM,8158.04,8286,8049.22,8096.75,531.93
2020-01-11 08-PM,8149.39,8181.91,8139.36,8158.04,123.36
2020-01-11 07-PM,8154.54,8169,8131.31,8149.39,148.61
2020-01-11 06-PM,8159.12,8182.19,8132.7,8154.54,98.64
2020-01-11 05-PM,8159.64,8215.58,8145.86,8159.12,165.09
2020-01-11 04-PM,8090.26,8175,8059.37,8159.64,168.25
2020-01-11 03-PM,8044.43,8098.06,8044.43,8090.26,93.59
2020-01-11 02-PM,8088.1,8111.24,8044.43,8044.43,64.11
2020-01-11 01-PM,8050.47,8095.86,8042.88,8088.1,50.82
2020-01-11 12-PM,8034.22,8067,8012.13,8050.47,91.49
2020-01-11 11-AM,8051.98,8075,8009.12,8034.22,276.65
2020-01-11 10-AM,8111,8116.65,8039.22,8051.98,64.6
2020-01-11 09-AM,8048.61,8128.76,8048.61,8111,116.17
2020-01-11 08-AM,8074.19,8098.67,8030.46,8048.61,122.24
2020-01-11 07-AM,8118.84,8144.12,8062.64,8074.19,44.66
2020-01-11 06-AM,8088.53,8125.38,8057.85,8118.84,56.41
2020-01-11 05-AM,8119.55,8119.55,8049.22,8088.53,167.34
2020-01-11 04-AM,8160.99,8180,8097.3,8119.55,265.7
2020-01-11 03-AM,8209.42,8209.42,8130.78,8160.99,122.7
2020-01-11 02-AM,8205.4,8214.98,8159.27,8209.42,92.2
2020-01-11 01-AM,8167.29,8252.72,8167.29,8205.4,299.28
2020-01-11 12-AM,8200,8205,8126.57,8167.29,154.13
2020-01-10 11-PM,8092.54,8200,8059.27,8200,318.78
2020-01-10 10-PM,8041.04,8096.28,7983.62,8092.54,191.0
2020-01-10 09-PM,8072.22,8130.01,8000,8041.04,1066.66
2020-01-10 08-PM,8064.4,8105.98,8043.06,8072.22,201.4
2020-01-10 07-PM,8026.86,8124.31,7969.22,8064.4,658.89
2020-01-10 06-PM,7963.34,8109.74,7963.34,8026.86,931.99
2020-01-10 05-PM,7957.21,7978.5,7912.23,7963.34,293.18
2020-01-10 04-PM,8062.01,8140,7929.53,7957.21,908.55
2020-01-10 03-PM,7975.33,8081.76,7942.68,8062.01,664.96
2020-01-10 02-PM,7868.92,7980,7842.92,7975.33,407.78
2020-01-10 01-PM,7890.03,7943.39,7859.23,7868.92,530.7
2020-01-10 12-PM,7836.82,7890.03,7801.03,7890.03,202.3
2020-01-10 11-AM,7768.8,7850.14,7761.01,7836.82,364.16
2020-01-10 10-AM,7720.81,7775,7667,7768.8,342.36
2020-01-10 09-AM,7700.79,7750.33,7689.47,7720.81,282.07
2020-01-10 08-AM,7744.64,7744.64,7676.61,7700.79,430.23
2020-01-10 07-AM,7737.69,7751.84,7713.47,7744.64,255.94
2020-01-10 06-AM,7738.82,7771.68,7709.22,7737.69,230.67
